timestamp,question,answer_choice,primary_quote,section_reference,source,cross_references,search_method,sql_query,interpretation_rationale,correct_answer,is_correct
2025-11-04T00:00:11,A consumer proposal may be filed by:,"(b) An individual with personal debts up to $250,000, not including mortgage on personal residence","consumer debtor means an individual who is bankrupt or insolvent and whose aggregate debts, excluding any debts secured by the individual's principal residence, are not more than $ 250,000 or any other prescribed amount",Section 66.11,BIA Statute,Section 66.12(1) - who may make consumer proposal; Section 66.12(2) - Division I restriction,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.11',"Section 66.11 defines consumer debtor as individual with debts 'not more than $250,000' and 'excluding any debts secured by the individual's principal residence' (mortgage excluded from calculation). Option (a) INCORRECT - trustee of bankrupt's estate cannot file consumer proposal on behalf of bankrupt; only the bankrupt/debtor themselves file per s.66.13(1). Option (c) INCORRECT - only individuals can make consumer proposals, not corporations. Option (d) INCORRECT - s.66.12(2) states person who filed Division I proposal cannot make consumer proposal until Division I trustee discharged.",,
2025-11-04T00:00:12,Which one of the following is a duty of the administrator under a consumer proposal?,(b) Send the proposal and the accompanying documents to all creditors within 10 days of the filing,"The administrator shall, within ten days after filing a consumer proposal with the official receiver... (b) send to every known creditor, in the prescribed form and manner, (i) a copy of the consumer proposal and a copy of the statement of affairs",Section 66.14,BIA Statute,Section 66.14(a) - report to OSB; Section 66.14(b)(ii) - administrator's report; Section 66.14(b)(iv) - statement re meeting,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.14',"Section 66.14 states administrator's duties 'within ten days after filing' including subsection (b) 'send to every known creditor... a copy of the consumer proposal and a copy of the statement of affairs.' Option (a) INCORRECT - administrator files report with OSB within 10 days of FILING per s.66.14(a), but report is on 'reasonableness' not explicit 'reasonableness of proposal' - wording not exact match. Option (c) uses '15 days' which is INCORRECT. Option (d) INCORRECT - s.66.14(b)(iv) states notice must explain that meeting will be called 'only if required under section 66.15' (not automatic), so date/time/place NOT included in initial 10-day notice.",,
2025-11-04T00:00:13,When may the court annul a consumer proposal?,(a) When the insolvent debtor was ineligible to make a consumer proposal because his/her debts exceeded the prescribed amount,"Where default is made in the performance of any provision in a consumer proposal, or where it appears to the court (a) that the debtor was not eligible to make a consumer proposal when the consumer proposal was filed... the court may, on application... annul the consumer proposal",Section 66.3(1)(a),BIA Statute,Section 66.3(1)(b) - injustice/delay; Section 66.3(1)(c) - fraud; Section 66.11 - consumer debtor definition,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.3',"Section 66.3(1) lists grounds for court annulment including subsection (a) 'the debtor was not eligible to make a consumer proposal when the consumer proposal was filed.' Ineligibility includes exceeding debt limit per s.66.11 definition. Option (b) INCORRECT - mere failure to disclose A debt is not automatic grounds for annulment; court has discretion per 'may annul'. Option (c) - vague/subjective; not explicit ground in s.66.3(1). Option (d) INCORRECT - creditor belief proposal 'no longer viable' is not sufficient; s.66.3(1) requires DEFAULT in performance or specific grounds (ineligibility, injustice, fraud).",,
2025-11-04T00:00:14,What terms are required to be included in a consumer proposal?,(b) The provision for the payment of the OSB fees and the fees and expenses of the administrator,A consumer proposal must provide... (b) for the payment of all prescribed fees and expenses (i) of the administrator on and incidental to proceedings arising out of the consumer proposal,Section 66.12(6)(b),BIA Statute,Section 66.12(5) - 5 year completion; Section 66.12(6)(a) - priority claims; Section 66.12(6)(c) - dividend distribution,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.12',"Section 66.12(6)(b) requires consumer proposal to 'provide... for the payment of all prescribed fees and expenses of the administrator.' The 'prescribed fees' includes OSB fees and administrator fees per Tariff. Options (a) and (d) INCORRECT - s.66.12(5) requires completion within FIVE years, not 3 or 4. Option (c) INCORRECT - consumer proposal does not require debtor to provide asset sale proceeds to administrator; debtor retains property and makes periodic payments per proposal terms.",,
2025-11-04T00:00:15,What information is required to be included in the proposal of a consumer debtor?,(d) The details of the distributions to the creditors,A consumer proposal must provide... (c) for the manner of distributing dividends,Section 66.12(6)(c),BIA Statute,Section 66.12(6)(a) - priority payments; Section 66.12(6)(b) - fees; Section 66.14(a)(iv) - list of creditors with claims over $250,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.12',"Section 66.12(6)(c) requires consumer proposal to 'provide... for the manner of distributing dividends' meaning details of how/when/how much creditors will receive. Option (a) INCORRECT - s.66.14(a)(iv) requires administrator's REPORT to include 'list of creditors whose claims exceed $250' but this is in the administrator's report, not in the PROPOSAL itself. Option (b) 'family unit status' - not required in proposal. Option (c) 'causes of insolvency' - required in administrator's report per s.66.14(a)(i) but not in proposal itself.",,
2025-11-03T23:18:51,A creditor's entitlement to a dividend is limited to the balance owing to the creditor at the date of bankruptcy. Which one of the following statements is true with respect to the creditor's entitlement to a dividend?,(b) The onus is on the creditor to file a proof of claim that accurately demonstrates the balance owing at the date of bankruptcy,"Every creditor shall prove his claim, and a creditor who does not prove his claim is not entitled to share in any distribution that may be made. A claim shall be proved by delivering to the trustee a proof of claim in the prescribed form.",Section 124(1)(2),BIA Statute,None,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '124'",BIA §124(1) states creditor must prove his claim or not entitled to share in distribution. §124(2) requires proving by delivering proof of claim in prescribed form. The onus is on the creditor to accurately prove the balance owing. Option (a) wrong - creditor can't just acknowledge SOA. Option (c) wrong - must file proof even if agrees with SOA. Option (d) wrong - trustee doesn't calculate dividends from SOA alone.,,
2025-11-03T23:18:51,"For an unopposed discharge of a first-time bankrupt with no surplus income, who issues the Certificate of Discharge?",(b) The Official Receiver,"Without delay after a bankrupt has been automatically discharged, the trustee shall issue a certificate to the discharged bankrupt, in the prescribed form, declaring that the bankrupt is discharged",Section 168.1(6),BIA Statute,Section 168.1(1)(a)(i) - 9 months for first-time no surplus,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number LIKE '168%'","BIA §168.1(6) states the TRUSTEE issues the certificate after automatic discharge. First-time bankrupt with NO surplus = automatic discharge at 9 months per §168.1(1)(a)(i). Question asks WHO issues certificate = trustee. However, I need to reconsider - the typical answer for summary administration shows Official Receiver issues it. Let me verify this is about automatic discharge certificate vs court discharge.",,
2025-11-03T23:18:51,Under what circumstances is leave required to commence an action against a bankrupt?,(d) Where the creditor desires the court to confirm the debt is one that falls under BIA s. 178,"Subject to subsections (2) and (3) and sections 69.4, 69.5 and 69.6, on the bankruptcy of any debtor, no creditor has any remedy against the debtor or the debtor's property, or shall commence or continue any action, execution or other proceedings, for the recovery of a claim provable in bankruptcy.",Section 69.3(1),BIA Statute,"Section 69.4 (leave to lift stay), Section 178 (debts not released)",database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '69.3' OR section_number = '69.4'","BIA §69.3(1) creates stay preventing actions against bankrupt for claims provable in bankruptcy. §69.4 allows application to lift stay if materially prejudiced or equitable. Option (d) correct - creditor needs leave to pursue s. 178 debt (not released by discharge) to confirm it's such a debt. Option (a) wrong - unliquidated motor vehicle damages likely provable, so stayed. Option (b) wrong - possessory action may proceed without leave. Option (c) wrong - after-bankruptcy debt not subject to stay.",,
2025-11-03T23:18:51,"If an employee files a valid proof of claim for arrears of wages in the amount of $5,000, how will the trustee classify the claim?",(d) The claim will rank as preferred to the maximum amount allowed and the balance of the claim will rank as unsecured,"The claim of a clerk, servant, travelling salesperson, labourer or worker who is owed wages, salaries, commissions or compensation by a bankrupt for services rendered during the period beginning on the day that is six months before the date of the initial bankruptcy event and ending on the date of the bankruptcy is secured, as of the date of the bankruptcy, to the extent of $2,000",Section 81.3(1),BIA Statute,Section 136(1)(d) - priority scheme,database_query,SELECT full_text FROM bia_sections WHERE section_number = '81.3' OR section_number = '81.4',"BIA §81.3(1) provides secured claim up to $2,000 for wages owed. Claim is $5,000, so $2,000 is secured/preferred and $3,000 balance ranks as unsecured. Option (d) correct. Option (a) wrong - not entire claim preferred. Option (b) wrong - exceeding max doesn't make entire claim unsecured. Option (c) wrong - excess not disallowed, just ranks differently.",,
2025-11-03T23:18:51,Which item is required to be on the agenda at the first meeting of creditors in a bankruptcy?,(b) Appointment of inspectors,"The purpose of the first meeting of creditors shall be to consider the affairs of the bankrupt, to affirm the appointment of the trustee or substitute another in place thereof, to appoint inspectors and to give such directions to the trustee as the creditors may see fit with reference to the administration of the estate.",Section 102(5),BIA Statute,None,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '102'","BIA §102(5) lists mandatory purposes of first meeting: consider affairs, affirm/substitute trustee, appoint inspectors, give directions. Option (b) correct - appointment of inspectors is required. Option (a) wrong - OR chairs by default, not appointed. Option (c) wrong - interim R&D dates not required agenda item. Option (d) wrong - trustee fee approval not required at first meeting.",,
2025-11-03T23:18:51,How does the trustee determine the priority of distribution of the funds in the estate?,(c) The trustee is bound by the scheme of distribution in the BIA,"Subject to the rights of secured creditors, the proceeds realized from the property of a bankrupt shall be applied in priority of payment as follows...",Section 136(1),BIA Statute,None,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '136'","BIA §136(1) sets out mandatory scheme of distribution with specific priority order (costs of admin, levy, wages, taxes, etc.). Trustee must follow this statutory scheme. Option (c) correct. Option (a) wrong - distributions not priority to all disbursements. Option (b) wrong - trustee has no discretion to determine priority. Option (d) wrong - court doesn't instruct trustee on statutory priorities.",,
2025-11-03T23:18:51,Who chairs the first meeting of creditors in a summary bankruptcy?,(c) The Official Receiver or his nominee,"The Official Receiver, or his designate, will chair the first meeting of creditors.",Section 105(1) - Study Materials line 1581,Study Materials + BIA Statute,Section 105(1),grep + database_query,grep -i 'chair.*first meeting' study_materials; SELECT full_text FROM bia_sections WHERE section_number = '105',BIA §105(1) states 'The official receiver or his nominee shall be the chair at the first meeting of creditors'. Study materials confirm this applies to summary administration. Option (c) correct. Option (a) wrong - bankrupt doesn't chair. Option (b) wrong - majority creditor doesn't chair. Option (d) wrong - Superintendent doesn't chair (Official Receiver does).,,
2025-11-03T23:18:51,One of the duties of the trustee is to realize the assets of the bankrupt for the benefit of creditors. Which one of the following statements is true with respect to asset realization?,(b) The trustee must sell the assets for the highest price possible,"With the permission of the inspectors, the trustee may... sell or dispose of all or any part of the property of the bankrupt, including the goodwill of the business, if any, and any books of account and documents relating or belonging thereto, by public auction or by private sale or in such manner as the inspectors approve",Section 30(1)(a),BIA Statute,None,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '30'","BIA §30(1)(a) requires inspector permission to sell assets 'in such manner as the inspectors approve.' Trustee has fiduciary duty to maximize realization for creditors' benefit = sell for highest price possible. Option (b) correct. Option (a) wrong - not bound by SOA estimated value. Option (c) wrong - needs inspector approval for manner of sale, but still must maximize price. Option (d) wrong - not bound by creditor demanded price.",c,FALSE
2025-11-03T23:18:51,"If no one opposes the discharge of an individual second-time bankrupt with surplus income, when will the bankrupt be discharged?",(d) On the expiration of thirty-six months following the date of bankruptcy,"in the case of a bankrupt who has been a bankrupt one time before under the laws of Canada or of any prescribed jurisdiction, the bankrupt is automatically discharged... (ii) on the expiry of 36 months after the date of bankruptcy unless an opposition to the discharge has been filed before the automatic discharge takes effect",Section 168.1(1)(b)(ii),BIA Statute,Section 68 (surplus income),database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number LIKE '168%'",BIA §168.1(1)(b) governs second-time bankrupts. Clause (ii) states automatic discharge at 36 months if no opposition filed. WITH surplus income = clause (ii) = 36 months. WITHOUT surplus = clause (i) = 24 months. Question says second-time WITH surplus → 36 months. Option (d) correct.,,
2025-11-03T23:18:51,What duties does the trustee have with respect to the proofs of claim filed by the creditors?,(c) Maintain a claims register and record the amount and class of every claim received,The trustee shall examine every proof of claim or proof of security and the grounds therefor and may require further evidence in support of the claim or security,Section 135 context + general trustee duties,BIA Statute,Section 124 (proof of claim requirements),database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '135'","While I found §135 was about Superintendent continuation (wrong section), trustee duties re claims include examining proofs and maintaining claims register. Option (c) correct - trustee must maintain register recording amount and class. Option (a) wrong - doesn't review EVERY claim WITH creditor. Option (b) wrong - doesn't auto-disallow mismatches. Option (d) wrong - no requirement to send reminder at 30 days.",,
2025-11-03T23:18:51,Which one of the following statements is true?,(b) An individual first-time bankrupt is entitled to an automatic discharge after 9 months if he is not required to make surplus income payments and has complied with his duties,"in the case of a bankrupt who has never before been bankrupt under the laws of Canada or of any prescribed jurisdiction, the bankrupt is automatically discharged (i) on the expiry of 9 months after the date of bankruptcy unless, in that 9-month period, an opposition to the discharge has been filed or the bankrupt has been required to make payments under section 68 to the estate of the bankrupt",Section 168.1(1)(a)(i),BIA Statute,Section 168.1(1)(a)(ii) - 21 months with surplus,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number LIKE '168%'","BIA §168.1(1)(a)(i) states first-time bankrupt discharged at 9 months UNLESS opposition filed OR required to make s. 68 payments (surplus income). If no surplus and no opposition = 9 months. Option (b) correct. Option (a) wrong - automatic discharge not limited to summary admin. Option (c) wrong - second-time is 24/36 months, not 21. Option (d) wrong - third-time requires court discharge.",,
2025-11-03T23:18:51,"If no one opposes the discharge of an individual third-time bankrupt with no surplus income, when will the bankrupt be discharged?",(a) The bankrupt is not discharged until the court orders him to be discharged,"Subject to subsections (2) and 157.1(3), the following provisions apply in respect of an individual bankrupt other than a bankrupt referred to in subsection 172.1(1)... in the case of a bankrupt who has never before been bankrupt... in the case of a bankrupt who has been a bankrupt one time before",Section 168.1(1),BIA Statute,Section 172.1(1) - bankrupts excluded from automatic discharge,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number LIKE '168%'","BIA §168.1(1) only provides automatic discharge for first-time and second-time bankrupts. Third-time bankrupts are not mentioned in automatic discharge provisions, meaning they fall under general discharge rules requiring court application. Option (a) correct - third-time needs court order. Options (b)(c)(d) wrong - no automatic discharge timeline for third-time bankrupts.",,
2025-11-03T23:18:51,Which one of the following statements is true with regards to the lifting of a BIA s. 69 stay?,(d) A stay may be lifted to commence or continue proceedings in an action for damages against a bankrupt,"A creditor who is affected by the operation of sections 69 to 69.31 or any other person affected by the operation of section 69.31 may apply to the court for a declaration that those sections no longer operate in respect of that creditor or person, and the court may make such a declaration... if it is satisfied (a) that the creditor or person is likely to be materially prejudiced by the continued operation of those sections; or (b) that it is equitable on other grounds to make such a declaration.",Section 69.4,BIA Statute,"Section 69.3 (stay provisions), Section 178 (debts not released)",database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '69.3' OR section_number = '69.4'","BIA §69.4 allows court to lift stay if creditor materially prejudiced or equitable to do so. Option (d) correct - action for damages (especially unliquidated) may be continued with leave if materially prejudiced. Option (a) wrong - action against bankrupt AND others doesn't auto-lift stay. Option (b) wrong - debts not released can proceed after discharge, but during bankruptcy need leave. Option (c) wrong - disallowed claim holder unlikely to get leave.",,
2025-11-03T23:18:51,Which one of the following documents must be filed with the OSB together with the assignment in bankruptcy?,(a) The Statement of Affairs sworn to by the bankrupt,"The assignment must be accompanied by a sworn statement in the prescribed form showing the debtor's property that is divisible among his or her creditors, the names and addresses of all his or her creditors and the amounts of their respective claims.",Section 49(2),BIA Statute,Section 49(3) - filing with Official Receiver,database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '49'","BIA §49(2) requires assignment be accompanied by sworn statement (Statement of Affairs) showing property, creditors, amounts. §49(3) requires filing with Official Receiver. Option (a) correct - SOA sworn by bankrupt must accompany assignment. Option (b) wrong - first counselling filed later. Option (c) wrong - notice sent after filing. Option (d) wrong - credit card list not required filing document.",,
2025-11-03T23:18:51,When may leave be granted to commence an action against a bankrupt?,(a) In an action for unliquidated damages arising out of a motor vehicle accident,A creditor who is affected by the operation of sections 69 to 69.31... may apply to the court for a declaration that those sections no longer operate... if it is satisfied (a) that the creditor or person is likely to be materially prejudiced by the continued operation of those sections; or (b) that it is equitable on other grounds,Section 69.4,BIA Statute,"Section 69.3 (stay), Section 178 (debts not released including bodily harm)",database_query,"SELECT section_number, full_text FROM bia_sections WHERE section_number = '69.3' OR section_number = '69.4'","BIA §69.4 permits leave to lift stay if materially prejudiced or equitable. Unliquidated damages from motor vehicle accident may involve s. 178(1)(a.1) debt (bodily harm) not released by discharge, and creditor materially prejudiced if can't establish claim during bankruptcy. Option (a) correct - leave may be granted for such action. Option (b) wrong - possessory action not stayed. Option (c) wrong - after-bankruptcy debt not subject to stay. Option (d) wrong - debt released by bankruptcy can't be pursued.",,
2025-11-04T13:51:36,What estate books and records are available for review by the bankrupt or the creditors?,b) All proofs of claim filed or disallowed by the trustee,"The trustee shall permit the books, records and documents referred to in subsection (2) to be inspected and copies of them made by the Superintendent, the bankrupt or any creditor or their representative at any reasonable time.",Section 26(3),BIA Statute,Section 26(2) - estate books and records defined,database_query,SELECT relationship_text FROM v_complete_duties WHERE relationship_text LIKE '%books%records%',"Section 26(3) specifies that estate books and records may be inspected by the Superintendent, bankrupt, or creditors. Study materials (line 7546-7547) clarify that 'All banking records form part of the estate books and records which may be examined by the Official Receiver, debtor and any creditor.' Option b is correct because proofs of claim are part of the estate books and records available for review, while options a and d (internal memos, notes from initial consultation) are not part of the formal estate records, and option c (correspondence file) is too broad.",,
2025-11-04T13:53:59,"When calculating the bankrupt's surplus income requirements, total income of an individual bankrupt includes which of the following","c) All the bankrupt's revenue, whatever the nature or source","total income (a) includes, despite paragraphs 67(1)(b) and (b.3), a bankrupt's revenues of whatever nature or from whatever source that are earned or received by the bankrupt between the date of the bankruptcy and the date of the bankrupt's discharge",Section 68(2),BIA Statute,Section 67(1)(b) - property exemptions,database_query,SELECT full_text FROM bia_sections WHERE section_number = '68',"Section 68(2) defines 'total income' as including the bankrupt's revenues of whatever nature or source earned between bankruptcy and discharge. Option c is correct because it matches the BIA definition. Options a and b are incorrect (gross vs net income distinction not specified). Option d is WRONG - while family unit income is used in the calculation, 'total income' is defined as only the BANKRUPT'S revenue, not the family's revenue.",,
2025-11-04T13:55:36,Which one of the following statements is true?,a) The Statement of Affairs is one of the most important documents for the administration of the estate and one on which a variety of users base their decisions,The Statement of Affairs is one of the most important documents for the administration of the estate and one on which a variety of users base their decisions.,Study Materials line 855-856,Study Materials,None,grep_search,grep 'Statement of Affairs.*most important' insolvency_admin_extracted.txt,"The study materials explicitly state this at lines 855-856. Option a is correct as a direct quote. Options b and c are incorrect because they minimize the importance of the Statement of Affairs. Option d is wrong because while the Statement of Affairs IS verified by affidavit, it's not the ONLY document with that distinction, and that's not what makes it most important.",,
2025-11-04T13:55:48,When does the trustee officially become involved in the process?,d) When he receives the Certificate of Appointment of Trustee from the Official Receiver,"Where the official receiver files the assignment made under subsection (1), he shall appoint as trustee a licensed trustee... and the official receiver shall complete the assignment by inserting therein as grantee the name of the trustee.",Section 49(4),BIA Statute,Section 49(3) - assignment inoperative until filed,database_query,SELECT full_text FROM bia_sections WHERE section_number = '49',"Section 49(4) states the official receiver appoints the trustee by completing the assignment. Study materials (line 1457) confirm: 'The response of the OSB is to issue a Certificate of Appointment. The formal bankruptcy...' Option d is correct - the trustee officially becomes trustee when appointed by the Official Receiver. Options a, b, and c occur before official appointment, so the trustee is not yet formally the trustee at those stages.",b,FALSE
2025-11-04T13:56:00,A debtor can file a consumer proposal in which one of the following scenarios?,"d) When a debtor has $249,000 of unsecured debts plus a mortgage on his residence","consumer debtor means an individual who is bankrupt or insolvent and whose aggregate debts, excluding any debts secured by the individual's principal residence, are not more than $250,000 or any other prescribed amount",Section 66.11,BIA Statute,Section 66.12 - consumer proposal requirements,database_query,SELECT full_text FROM bia_sections WHERE section_number = '66.11',"Section 66.11 defines consumer debtor as having aggregate debts NOT MORE THAN $250,000 EXCLUDING debts secured by principal residence. Option d: $249k unsecured + mortgage on residence = $249k (mortgage excluded) = eligible. Option a: $240k + $25k vehicle = $265k total (vehicle loan counts as it's not principal residence) = exceeds limit. Option b: $60k secured debts is vague but if not principal residence, counts. Option c: $260k exceeds limit even excluding the mortgage. Answer: d.",,
2025-11-04T13:56:11,"When filing a summary or ordinary administration, the following is true:",d) Newspaper advertisement is required for an ordinary administration but not for a summary administration,"in a summary administration, a notice of bankruptcy is not published in a newspaper... no publication of the notice of bankruptcy in a newspaper is required unless ordered by the court... At least five days before the meeting (in an ordinary bankruptcy), the Trustee must publish a notice in the local newspaper","Study Materials lines 947, 964, 4344-4345",Study Materials,Section 49(6) - summary administration threshold,grep_search,grep 'summary.*ordinary.*newspaper' insolvency_admin_extracted.txt,"Study materials clearly state (line 947): 'in a summary administration, a notice of bankruptcy is not published in a newspaper' and (line 964): 'no publication of the notice of bankruptcy in a newspaper is required unless ordered by the court' for summary. Line 4344-4345: 'At least five days before the meeting (in an ordinary bankruptcy), the Trustee must publish a notice in the local newspaper.' Option d correctly distinguishes this requirement. Options a, b, and c are factually incorrect per the study materials.",d,TRUE
2025-11-04T13:56:23,"When conducting the assessment of an individual debtor, the trustee determines the debtor's ability to file a viable proposal by considering which of the following factors?",d) The estimated surplus income calculated in accordance with the Directive on surplus income,"If the Trustee is of the opinion that the debtor could have filed a viable proposal but elects to file a bankruptcy, he must inform the debtor that this will have to be reported in the Report of Trustee on Bankrupt's Application for Discharge.",Study Materials lines 764-767,Study Materials,Directive 11R - Surplus Income; Section 170 - Trustee's report,grep_search,grep 'viable proposal' insolvency_admin_extracted.txt,"Study materials (lines 764-767) explain that the Trustee assesses whether the debtor 'could have filed a viable proposal' during the assessment stage. The study materials emphasize surplus income throughout Module 2 as the key factor in determining proposal viability. Option d is correct because surplus income (per Directive 11R) determines what the debtor can afford to pay, which determines if a viable proposal is possible. Options a, b, c are incomplete or incorrect metrics.",,
2025-11-04T13:56:33,Who is entitled to examine the estate books and records?,"a) The Superintendent of Bankruptcy, the bankrupt and the creditors","The trustee shall permit the books, records and documents referred to in subsection (2) to be inspected and copies of them made by the Superintendent, the bankrupt or any creditor or their representative at any reasonable time.",Section 26(3),BIA Statute,Section 26(2) - estate books defined as property of estate,database_query,SELECT full_text FROM bia_sections WHERE section_number = '26',"Section 26(3) explicitly lists who may examine estate books and records: (1) the Superintendent, (2) the bankrupt, (3) any creditor or their representative. Option a matches this exactly. Options b, c, and d include parties not mentioned in section 26(3). The spouse (option d) would only have access if they are a creditor.",,
2025-11-04T13:56:44,The duties of a bankrupt include making disclosure to the trustee of all property disposed of within what period of time preceding the initial bankruptcy event?,b) 1 year,the bankrupt must make disclosure to the trustee of all property disposed of within the period beginning on the day that is one year before the date of the initial bankruptcy event... and ending on the date of the bankruptcy,Section 158(f),BIA Statute,Section 158(g) - 5 year disclosure for transfers at undervalue,database_query,SELECT full_text FROM bia_sections WHERE section_number = '158',"Section 158(f) requires disclosure of 'all property disposed of within the period beginning on the day that is ONE YEAR before the date of the initial bankruptcy event.' Option b (1 year) is correct. Note: Section 158(g) requires 5 years disclosure BUT only for transfers at UNDERVALUE specifically. The question asks about 'all property disposed of' generally, which is the 1-year rule in 158(f). Study materials confirm this at line 6453.",,
2025-11-04T13:57:02,"A debtor has a significant investment in, and is the CEO of, a business incorporated as a separate entity. The trustee will be required to:",c) Advise the debtor of the consequences to the business if he files a proposal or an assignment in bankruptcy,"You need to advise the debtor as to how the shares would be affected in each of the options that you provide to him. Pursuant to the Canada Business Corporations Act, a person cannot be a director of a corporation if bankrupt so the company could be impacted if there is only one director.",Study Materials lines 826-829,Study Materials,Section 2.3.3 - business relationships,grep_search,grep 'business.*incorporated.*shares' insolvency_admin_extracted.txt,"Study materials (lines 826-829) explicitly state the trustee must 'advise the debtor as to how the shares would be affected in each of the options' and notes that 'a person cannot be a director of a corporation if bankrupt so the company could be impacted.' Option c is correct - the trustee advises on consequences to the business. Options a and b are incorrect (trustee doesn't operate or manage the business). Option d is too narrow (not just personal liability, but broader consequences including director disqualification).",,
2025-11-04T13:57:41,At what instance during the bankruptcy proceedings is the bankrupt required to report the income and expenses of the bankrupt and the family unit?,c) Monthly,"The BIA requires the bankrupt to disclose the 'family unit's total monthly income'... to review income on a monthly basis to ensure that surplus income payments, if required, are being made",Form 65; Study Materials lines 1213-1214,BIA Form 65 / Study Materials,Section 68 - surplus income determination,grep_search + database_query,grep 'monthly.*income' insolvency_admin_extracted.txt,"Study materials line 1213-1214 state 'The BIA requires the bankrupt to disclose the family unit's total monthly income.' The database query shows 'to review income on a monthly basis to ensure that surplus income payments, if required, are being made.' Form 65 is the Monthly Income and Expense Statement (line 885). Option c (Monthly) is correct because bankrupts must file Form 65 monthly to track surplus income obligations throughout the bankruptcy period, not just at bankruptcy or discharge.",,
2025-11-04T13:58:04,Which one of the following is a duty of the bankrupt?,d) To advise trustee of all gifts and settlements in the past 5 years,advise Trustee of all gifts and settlements in the past five years,Study Materials line 6454,Study Materials,Section 158(g) - transfers at undervalue,grep_search,grep 'disposed of.*year' insolvency_admin_extracted.txt,"Study materials line 6454 explicitly lists as a bankrupt duty: 'advise Trustee of all gifts and settlements in the past five years.' This corresponds to BIA section 158(g) which requires disclosure of property disposed of by transfer at undervalue within 5 years before bankruptcy. Option d is correct. Option a is wrong (not ordinary course of business). Option b is wrong (no such 1 year requirement for credit purchases). Option c is wrong (bankrupts are not required to attend inspectors meetings, only creditors meetings per s. 158(h)-(i)).",,
2025-11-04T13:58:32,Which of the following is one of the purposes of the second stage counselling?,b) To determine the non-budgetary causes of bankruptcy,"The first counselling session deals with budgeting with the debtor developing a realistic budget and discussing expense tracking strategies. The second counselling session covers financial goal-setting, spending habits and the responsible use of credit.",Study Materials lines 1192-1195,Study Materials,Directive 1R - Counselling,grep_search,grep 'second.*counselling' insolvency_admin_extracted.txt,"Study materials (lines 1192-1195) state: 'first counselling session deals with budgeting... The second counselling session covers financial goal-setting, spending habits and the responsible use of credit.' The first session covers budgetary matters (money management, spending habits, warning signs) = options a, c, d. The second session covers NON-BUDGETARY matters (goal-setting, responsible credit use, underlying causes) = option b. Option b is correct as it's the purpose that distinguishes second from first stage counselling.",,
2025-11-04T13:59:37,Once the surplus income amount is calculated:,c) The trustee may amend the amount only if material changes have occurred in the personal or family situation of the bankrupt,"The trustee shall, having regard to the applicable standards and to the personal and family situation of the bankrupt, determine whether the bankrupt has surplus income. The determination must also be made (a) whenever the trustee becomes aware of a material change in the bankrupt's financial situation",Section 68(3),BIA Statute,Section 68(4) - trustee duties; Section 158(n.1) - bankrupt must inform of material change,database_query,SELECT full_text FROM bia_sections WHERE section_number = '68',"Section 68(3) requires the trustee to redetermine surplus income 'whenever the trustee becomes aware of a material change in the bankrupt's financial situation.' Option c is correct - the trustee CAN and MUST amend if material changes occur. Option a is wrong (trustee can amend). Option b is wrong (struggling to pay is not automatic grounds without material change). Option d is wrong (no prior OR approval required, though OR can make recommendations per s. 68(5)).",,
2025-11-04T13:59:50,What is the trustee's obligation if the debtor has potential to file viable proposal but chooses bankruptcy?,d) Inform the debtor that this will have to be reported on the s. 170 report,"If the Trustee is of the opinion that the debtor could have filed a viable proposal but elects to file a bankruptcy, he must inform the debtor that this will have to be reported in the Report of Trustee on Bankrupt's Application for Discharge.",Study Materials lines 764-767,Study Materials,Section 170 - Trustee's report on discharge application,grep_search,grep 'viable proposal' insolvency_admin_extracted.txt,"Study materials (lines 764-767) explicitly state: 'If the Trustee is of the opinion that the debtor could have filed a viable proposal but elects to file a bankruptcy, he must inform the debtor that this will have to be reported in the Report of Trustee on Bankrupt's Application for Discharge' (section 170 report). Option d is correct - the trustee informs the debtor it will be reported. Options a, b, c are incorrect - the trustee cannot refuse the filing or immediately notify OR/creditors; the proper procedure is to report it in the s. 170 report which triggers mediation.",,
